"Item","Category","Value","References","Package","Description","Assembly","Distributor","Distributor Part#","Manufacturer","Manufacturer Part#","Quantity","Stock","Unit Price"
"1","Capacitor","2.2uF","C1, C2, C4, C8, C23","C0805","50V 2.2uF X7R ±10% 0805  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","","LCSC","C125847","YAGEO","CC0805KKX7R9BB225","5","85860","0.037100"
"2","Capacitor","1pF","C3, C9","C0805","50V 1pF C0G ±0.25pF 0805  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","","LCSC","C1786","FH (Guangdong Fenghua Advanced Tech)","0805CG1R0C500NT","2","2300","0.005200"
"3","Capacitor","100pF","C5","C0805","50V 100pF X7R ±10% 0805  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","","LCSC","C107140","YAGEO","CC0805KRX7R9BB101","1","13800","0.005900"
"4","Capacitor","1nF","C6","C0805","50V 1nF NP0 ±5% 0805  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","","LCSC","C62774","YAGEO","CC0805JRNPO9BN102","1","142900","0.013000"
"5","Capacitor","390pF","C7, C19","C0805","50V 390pF NP0 ±1% 0805  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","","LCSC","C527186","YAGEO","CC0805FRNPO9BN391","2","3990","0.039200"
"6","Capacitor","22pF","C10, C17","C0805","50V 22pF C0G ±1% 0805  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","","LCSC","C190088","FH (Guangdong Fenghua Advanced Tech)","0805CG220F500NT","2","11050","0.017000"
"7","Capacitor","220nF","C11, C18","Cap_Film_L7.2_W3.5_P5.0","±5% 63V 220nF -55℃~+125℃ Metallized Polyester Radial Leaded,P=5mm  Film Capacitors ROHS","","LCSC","C401237","XIAMEN FARATRONIC","C241J224J2SA201","2","2390","0.075200"
"8","Capacitor","1uF","C12, C14, C15, C16","C0805","50V 1uF X7R ±10% 0805  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","","LCSC","C126592","Murata Electronics","GCM21BR71H105KA03L","4","273750","0.062400"
"9","Capacitor","470nF","C13","Cap_Film_L7.2_W3.5_P5.0","±5% 63V 470nF -55℃~+105℃ Metallized Polyester Radial Leaded,P=5mm  Film Capacitors ROHS","","LCSC","C183544","KEMET","R82DC3470DQ60J","1","8765","0.187100"
"10","Capacitor","100nF","C20","C0805","50V 100nF X7R ±5% 0805  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","","LCSC","C111492","YAGEO","CC0805JRX7R9BB104","1","50500","0.012100"
"11","Capacitor","3300uF/35V","C21, C22","Cap_Radial_D16.0_P7.5","","","","","","","2","",""
"12","Diode","ABS201","D1","Diode_Bridge_ABS","50A 1V@2A 5uA@100V 2A 100V -55℃~+150℃@(Tj) ABS  Bridge Rectifiers ROHS","","LCSC","C437914","Shandong Jingdao Microelectronics","ABS201","1","9640","0.047100"
"13","Connector","XH2-P2.54","J1","XH_P2.54_2","","","","","","","1","",""
"14","Connector","VH2-P3.96","J2","VH_P3.96_2","","","","","","","1","",""
"15","Connector","VH3-P3.96","J3","VH_P3.96_3","","","","","","","1","",""
"16","Inductor","10uH","L1, L2","L_6.6x7.1_H3.0","3A 10uH ±20% 105mΩ 7A SMD,6.6x7.1x3mm  Power Inductors ROHS","","LCSC","C436542","PROD Tech","PSPMAA0603-100M-ANF","2","15690","0.106000"
"17","Resistor","10K","R1, R2, R3, R15, R16","R0805","125mW Thick Film Resistors 150V ±100ppm/℃ ±1% -55℃~+155℃ 10kΩ 0805  Chip Resistor - Surface Mount ROHS","","LCSC","C140868","YAGEO","AC0805FR-0710KL","5","683600","0.004200"
"18","Resistor","10R","R4, R7","R0805","125mW Thick Film Resistors 150V ±200ppm/℃ ±1% -55℃~+155℃ 10Ω 0805  Chip Resistor - Surface Mount ROHS","","LCSC","C138273","YAGEO","AC0805FR-0710RL","2","8500","0.007700"
"19","Resistor","100K","R5, R6, R8, R9, R11","R0805","125mW 150V ±100ppm/℃ ±1% -55℃~+155℃ 100kΩ 0805  Chip Resistor - Surface Mount ROHS","","LCSC","C96346","YAGEO","RC0805FR-07100KL","5","400300","0.002600"
"20","Resistor","15K","R10","R0805","125mW Thick Film Resistors 150V ±100ppm/℃ ±1% -55℃~+155℃ 15kΩ 0805  Chip Resistor - Surface Mount ROHS","","LCSC","C114559","YAGEO","RC0805FR-0715KL","1","81200","0.002600"
"21","Resistor","5K1","R12","R0805","125mW Thick Film Resistors 150V ±100ppm/℃ ±1% -55℃~+155℃ 5.1kΩ 0805  Chip Resistor - Surface Mount ROHS","","LCSC","C84375","YAGEO","RC0805FR-075K1L","1","320800","0.002700"
"22","Resistor","13K3","R13","R0805","125mW Thick Film Resistors 150V ±100ppm/℃ ±1% -55℃~+155℃ 13.3kΩ 0805  Chip Resistor - Surface Mount ROHS","","LCSC","C17446","UNI-ROYAL(Uniroyal Elec)","0805W8F1332T5E","1","2500","0.002600"
"23","Resistor","0R","R14, R17","R0805","125mW Thick Film Resistors 150V ±1% ±200ppm/℃ -55℃~+155℃ 0Ω 0805  Chip Resistor - Surface Mount ROHS","","LCSC","C174076","YAGEO","AC0805FR-070RL","2","37400","0.004200"
"24","IC","MP7748S","U1","TSSOP28_4.4x9.7_P0.65_EP2.9x5.7","","","","","","","1","",""
"25","IC","LM321","U2","SOT-23-5"," SOT-23-5  Operational Amplifier ROHS","","LCSC","C395460","IDCHIP","LM321","1","35240","0.042400"
